Symptom,Disease
눈꼽,"결막염(Conjunctivitis), 꽃가루 알레르기(Pollen allergy), 눈물흘림증(Epiphora), 비루관 폐쇄(Nasolacrimal duct obstruction), 출혈성 결막염(Hemorrhagic conjunctivitis)"
눈의 자극감,"결막염(Conjunctivitis), 안검염(Blepharitis), 안구 건조증(Dry eye syndrome), 원추각막(Keratoconus), 진균성 각막 궤양(Fungal corneal ulcers), 출혈성 결막염(Hemorrhagic conjunctivitis)"
하얀 반점,"결절성 경화증 (Tuberous sclerosis), 백반증(Vitiligo), 어루러기(Pityriasis versicolor), 칸디다성 구내염(Candidal stomatitis)"
경련,"결절성 경화증 (Tuberous sclerosis), 급성 신부전(Acute renal failure), 납 중독(Lead Poisoning), 뇌농양(Brain abscess), 뇌동맥 폐쇄(Occlusion of cerebral artery), 뇌염(Encephalitis), 뇌전증(Epilepsy), 니만-피크병(Niemann-Pick disease), 로하드 증후군(ROHHAD Syndrome), 바이러스성 뇌수막염(Viral meningitis), 박테리아성 뇌수막염(Bacterial meningitis), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 스핑고 지질증(Other sphingolipidosis), 신동맥 협착증(Renal artery stenosis), 신생아 다혈구증(Polycythemia), 외상에 의한 뇌 손상(Traumatic brain injury), 요붕증(Diabetes insipidus), 일본 뇌염(Japanese encephalitis), 저혈당증(Hypoglycemia), 지주막하 출혈(Subarachnoid hemorrhage), 파종혈관내응고(Diffuse or disseminated intravascular coagulation), 페닐케톤뇨증(Phenylketonuria), 하지 정맥류(Varicose veins)"
말초 신경장애,"결절성 다발동맥염(Polyarteritis nodosa), 당뇨병성 말초신경병증(Diabetic polyneuropathy), 베르니케 코시코프 증후군(Wernicke-korsakoff syndrome), 선모충증(Trichinellosis), 죽상경화증(Atherosclerosis), 한랭글로불린혈증(Cryoglobulinemia)"
자반증,"결절성 다발동맥염(Polyarteritis nodosa), 미세혈관병용혈빈혈(Microangiopathic hemolytic anemia), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 한랭글로불린혈증(Cryoglobulinemia), 헤노호 쉰라인 자반증(Henoch-Schonlein purpura)"
근육경련,"결핵성 골수염(Tuberculous osteomyelitis), 근육긴장이상증(Dystonia), 근육병(Myopathy), 복합 부위 통증 증후군(Complex regional pain syndrome), 부갑상선기능저하증(Hypoparathyroidism), 운동신경 질환(Motor neuron disease), 저마그네슘혈증(Hypomagnesemia), 저칼슘혈증(Hypocalcemia), 크로이츠펠트-야콥병(Creutzfeldt-Jakob disease)"
뼈의 변형,"결핵성 골수염(Tuberculous osteomyelitis), 골절 후 부정 유합, 불유합(Malunion & nonunion of fracture), 괴혈병(scurvy), 구루병(Rickets), 급성림프모구백혈병(Acute lymphoblastic leukemia), 내연골종(Enchondroma), 병리적 골절(Pathological fracture), 원위 요골과 척골 골절(Fracture of distal radius and ulna), 육종(Sarcoma), 척추측만증(Scoliosis), 팔죽지 골절(Humerus fracture)"
눈운동신경마비,"결핵성 수막염(Tuberculous meningitis), 사시(Strabismus), 수두증(Hydrocephalus), 스핑고 지질증(Other sphingolipidosis), 잠금 증후군(Locked-in Syndrome)"
졸림,결핵성 수막염(Tuberculous meningitis)
피부궤양,"결핵성 임파선염(Tuberculous lymphadenitis), 기저세포 암종(Basal cell carcinoma), 당뇨병성 족부 질환(DM foot ulcer), 말초동맥질환(Peripheral aterial disease, PAD), 상피내 신생물(IN SITU NEOPLASMS), 심부정맥 색전증(Deep vein thrombosis), 욕창(Skin defect (and/or) soft tissue defect), 용혈빈혈(Hemolytic anemia), 임파선염(Lymphadenitis), 파라핀종(Paraffinoma), 피부근육염(Dermatopolymyositis), 피부암(Skin cancer), 하지 정맥류(Varicose veins), 한랭글로불린혈증(Cryoglobulinemia), 효모균증(Cryptococcosis)"
망상,"경계성 인격장애(Borderline personality disorder), 망상 장애(Delusional disorder), 분열정동 장애(Schizoaffective disorders), 양극성 장애(Bipolar disorder), 우울증(Depressive disorder), 조현병(정신분열병)(schizophrenia)"
우울,"경계성 인격장애(Borderline personality disorder), 경미한 인지장애(Mild cognitive impairment), 금단 현상(Withdrawal Phenomenon), 병적 도벽(Pathological stealing), 복합 부위 통증 증후군(Complex regional pain syndrome), 부갑상선기능저하증(Hypoparathyroidism), 부갑상선기능항진증(Hyperparathyroidism), 브루셀라증(Brucellosis), 산후 우울증(Postpartum depression), 성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder), 셀리악병(Celiac disease), 소아청소년기 우울증(Depression in childhood and adolescence), 알츠하이머병(Alzheimer's disease), 양극성 장애(Bipolar disorder), 월경전 증후군(Premenstrual syndrome), 자가면역 질환(autoimmune diseasse), 적응 장애(Adjustment disorder), 전신 홍반성 낭창(Systemic lupus erythematosus), 쿠싱 증후군(Cushing's syndrome), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states), 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환(Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy), 헌팅톤 병(Huntington disease)"
자살의 위험,"경계성 인격장애(Borderline personality disorder), 우울증(Depressive disorder)"
조절할 수 없는 충동감,"경계성 인격장애(Borderline personality disorder), 인터넷 중독(Internet addiction), 행동 및 충동 장애(Disruptive, impulse-control and conduct disorders)"
대인관계 어려움,"경계성 인격장애(Borderline personality disorder), 광장공포증(Agoraphobia), 사회공포증(Sociophobia), 성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder), 아스퍼거 증후군(Asperger disorder), 외상 후 스트레스 장애(Post-traumatic stress disorder), 인터넷 중독(Internet addiction)"
약물남용,"경계성 인격장애(Borderline personality disorder), 반사회성 인격장애(Antisocial Personality Disorder)"
손상 부위 통증,"경골과 비골 골절(Fracture of tibia & fibula), 골절 후 부정 유합, 불유합(Malunion & nonunion of fracture), 대퇴 골절(Fracture of femur), 쇄골 골절(Clavicle Fracture), 염좌(sprain), 천추골 골절(sacral fracture), 팔죽지 골절(Humerus fracture), 피로 골절(Stress fracture)"
손상 부위 출혈,"경골과 비골 골절(Fracture of tibia & fibula), 수부 외상(Hand trauma), 압궤 손상(Crushing injury), 팔죽지 골절(Humerus fracture)"
다리변형,"경골과 비골 골절(Fracture of tibia & fibula), 골절 후 부정 유합, 불유합(Malunion & nonunion of fracture), 구루병(Rickets), 대퇴 골절(Fracture of femur)"
하지부종,"경골과 비골 골절(Fracture of tibia & fibula), 무지외반증(Hallux valgus), 방광암(Bladder cancer), 신경모세포종(Neuroblastoma), 신증후군(Nephrotic syndrome), 폐기종(Emphysema), 하지 정맥류(Varicose veins), 혈뇨(Hematuria)"
언어장애,"경동맥 협착증(Carotid artery stenosis), 경미한 인지장애(Mild cognitive impairment), 근위축성 측색 경화증(Amyotrophic lateral sclerosis), 근육긴장이상증(Dystonia), 기뇌증(Pneumocephalus), 뇌경색(Cerebral infarction), 뇌동맥 폐쇄(Occlusion of cerebral artery), 뇌졸중(Cerebrovascular disease), 단순 포진성 뇌염(Herpes simplex encephalitis), 두개 안면 부조화(Craniofacial dysharmony), 루빈스타인 테이비 증후군 (Rubinstein-Taybi syndrome), 모야모야병(Moyamoya disease), 섬망(Delirium), 수막종(Meningioma), 실어증(Aphasia), 알츠하이머병(Alzheimer's disease), 외상성 치매 (Traumatic dementia), 일과성 뇌허혈증(Transient cerebral ischemia), 자폐증 / 자폐 스펙트럼 장애(Autism spectrum disorder), 잠금 증후군(Locked-in Syndrome), 지적장애(Intellectual disability), 치매(Dementia), 파이퍼 증후군 (Pfeiffer syndrome), 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환(Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy), 혈관성 치매(Vascular dementia)"
감각 이상,"경동맥 협착증(Carotid artery stenosis), 경추 추간판 탈출증(Cervical HIVD), 공황 장애(Panic disorder), 구강암(Oral Cancer), 길랑-바레 증후군(Guillain-Barre Syndrome), 내연골종(Enchondroma), 뇌동맥 폐쇄(Occlusion of cerebral artery), 뇌종양(Brain tumor), 다발성 경화증(Multiple sclerosis), 당뇨병성 족부 질환(DM foot ulcer), 만성 신부전(Chronic renal failure), 말초동맥질환(Peripheral aterial disease, PAD), 모야모야병(Moyamoya disease), 병리적 골절(Pathological fracture), 삼차 신경병증(Trigeminal neuralgia), 섬망(Delirium), 손목 수근관 증후군(Carpal tunnel syndrome), 신경근병증(Radiculopathy), 아밀로이드증(Amyloidosis), 안면 골절(Facial bone fracture), 안와 골절(orbital fracture), 요추 추간판 탈출증(Herniation of intervertebral disk), 일과성 뇌허혈증(Transient cerebral ischemia), 일본 뇌염(Japanese encephalitis), 자가면역 질환(autoimmune diseasse), 저칼슘혈증(Hypocalcemia), 지주막하 출혈(Subarachnoid hemorrhage), 척수 종양(Spinal Cord tumor), 척수공동증(Syringomyelia), 척수병증(Myelopathy), 척추 종양(Spine Bone Tumor), 척추병증(Spondylopathies), 청신경초종(Vestibular schwannoma), 파브리병(Fabry disease), 혈관성 치매(Vascular dementia), 화상(Burn), 횡단성 척수염(Transverse myelitis), 후종인대 골화증(Ossification of posterior longitudinal ligament)"
반신마비,"경동맥 협착증(Carotid artery stenosis), 뇌경색(Cerebral infarction), 뇌졸중(Cerebrovascular disease), 다발성 경화증(Multiple sclerosis), 외상성 경막하 출혈(Traumatic subdural hemorrhage), 지주막하 출혈(Subarachnoid hemorrhage)"
판단력장애,"경미한 인지장애(Mild cognitive impairment), 알츠하이머병(Alzheimer's disease)"
무관심,경미한 인지장애(Mild cognitive impairment)
통증 없는 부종,경부 림프절염(Cervical lymphadenitis)
마비,"경추 추간판 탈출증(Cervical HIVD), 구획 증후군(Compartment syndrome), 뇌출혈(Cerebral hemorrhage), 모야모야병(Moyamoya disease), 수두증(Hydrocephalus), 압궤 손상(Crushing injury), 저칼륨혈증(Hypokalemia), 척수공동증(Syringomyelia), 척추 골수염(Vertebral osteomyelitis), 피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환(Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy), 혈관성 치매(Vascular dementia)"
멍,"계류 유산(Missed abortion), 골수증식종양(Myeloproliferative neoplasm), 골형성부전증(Osteogenesis imperfecta), 급성골수성백혈병(Acute myeloid leukemia), 급성림프모구백혈병(Acute lymphoblastic leukemia), 말기 신질환(End stage renal disease), 발작성야간혈색뇨(Paroxysmal nocturnal hemoglobinuria), 엘러스-단로스 증후군 (Ehlers-Danlos syndrome), 용혈성 요독 증후군(Hemolytic Uremic Syndrome), 재생불량빈혈(Aplastic anemia), 헤노호 쉰라인 자반증(Henoch-Schonlein purpura)"
커지지 않는 자궁,계류 유산(Missed abortion)
비정상적 질출혈,"계류 유산(Missed abortion), 과립막 세포종(Granulosa cell tumor), 난소 낭종(Ovarian cysts), 난소난관염(Oophoritis, Ovaritis), 난소암(Ovarian cancer), 다낭성 난소 증후군(Polycystic ovary syndrome), 무월경(Amenorrhea), 분만 후 출혈(Postpartum hemorrhage), 비장암(Spleen Cancer), 비정상적 자궁, 질 출혈(Abnormal uterine and vaginal bleeding), 습관성 유산(Habitual miscarriage), 유산(Abortion), 유산 후 계속되는 임신(다태)(Continuing pregnancy after abortion), 자궁 경부의 이형성증(Dysplasia of cervix uteri), 자궁 상피 내 암종(Carcinoma in situ of Cervix), 자궁 외 임신(Ectopic pregnancy), 자궁 육종(Sarcoma of Uterus), 자궁경부암(Cervical cancer), 자궁경부염(Cervicitis), 자궁내막 용종(Polyp of endometrium), 자궁내막 이상증식증(Endometrial hyperplasia), 자궁내막암(Endometrial cancer), 자궁의 평활근종(Leiomyoma of uterus), 전치 태반(Placenta previa), 절박 유산(Threatened Abortion), 조산(Prematurity delivery), 질암(Vaginal Cancer), 태반 유착증(Placenta Accreta), 태반 조기 박리(Abruptio placenta), 포상기태(Hydatidiform mole)"
유방의 퇴행,계류 유산(Missed abortion)
비출혈,"계류 유산(Missed abortion), 급성 류마티스성 열(Acute Rheumatic fever), 급성골수성백혈병(Acute myeloid leukemia), 급성림프모구백혈병(Acute lymphoblastic leukemia), 범혈구감소증(Pancytopenia), 비부비동 종양(Sinonasal Tumor), 비인두 종양(Nasopharyngeal tumor), 비출혈(Epistaxis), 안와 골절(orbital fracture), 폰빌레브란트병(Von Willebrand disease)"
오리걸음,"고관절 이형성증(DDH (developmental dysplasia of the hip)), 내반슬(Bow leg)"
다리가 잘 안 벌어짐,고관절 이형성증(DDH (developmental dysplasia of the hip))
다리의 길이가 틀림,"고관절 이형성증(DDH (developmental dysplasia of the hip)), 대퇴 골절(Fracture of femur)"
갈증,"고나트륨혈증(Hypernatremia), 요붕증(Diabetes insipidus), 인슐린 비의존성 당뇨병(Non-insulin dependent diabetes mellitus)"
심정지,"고마그네슘혈증(Hypermagnesemia), 고칼륨혈증(Hyperkalemia), 양수색전증(Amniotic fluid embolism), 저칼슘혈증(Hypocalcemia), 지주막하 출혈(Subarachnoid hemorrhage)"
저혈압,"고마그네슘혈증(Hypermagnesemia), 금단 현상(Withdrawal Phenomenon), 뇌하수체 기능부전(Hypopituitarism), 문맥색전증(Portal vein thrombosis), 반코마이신 내성 장알균(VRE) 감염증(Vancomycin-Resistant Enterococci), 반코마이신 내성 황색포도알균(VRSA) 감염증(Vancomycin-Resistant Staphylococcus aureus), 복강 내 출혈(Intraperitoneal Bleeding), 복막염(Peritonitis), 부신 기능부전(Adrenal insufficiency), 비브리오 패혈증(Vibrio vulnificus Septicemia), 비정상적 자궁, 질 출혈(Abnormal uterine and vaginal bleeding), 선천성 부신과다 형성증(Congenital adrenal hyperplasia), 설인신경통(Glossopharyngeal neuralgia), 소장의 혈관 장애(Vascular disorders of intestine), 신경성 식욕부진증(Anorexia nervosa), 신증후성 출혈열(Hemorrhagic fever with renal syndrome), 심낭 압전(Cardiac tamponade), 심낭염(Pericarditis), 심내막염(Endocarditis), 아나필락시스(Anaphylactic shock), 양수색전증(Amniotic fluid embolism), 열사병(Heat stroke), 외상에 의한 척추 손상(Traumatic spine injury), 장폐색(Intestinal obstruction), 저칼륨혈증(Hypokalemia), 점액수종 혼수(Myxoedema coma), 패혈증(Sepsis)"
고막에 수포형성,고막염(Myringitis)
이물감,"고막염(Myringitis), 안검염(Blepharitis), 자궁 육종(Sarcoma of Uterus)"
말초부종,"고산병(Mountain sickness), 심근병증(Cardiomyopathy), 폐부종(Pulmonary edema)"
탈수,"고산병(Mountain sickness), 고칼슘혈증(Hypercalcemia), 궤양성 대장염(Ulcerative colitis), 급성 신부전(Acute renal failure), 급성 위장염(Acute gastroenteritis), 바이러스성 장염(Viral enteritis(Rota)), 부갑상선암(Parathyroid Cancer), 선천성 거대결장증(Hirschsprung disease), 선천성 부신과다 형성증(Congenital adrenal hyperplasia), 열 피로(heat exhaustion), 영아 비대성 유문협착증(IHPS (infantile hypertrophic pyloric stenosis)), 요붕증(Diabetes insipidus), 장폐색(Intestinal obstruction), 콜레라(Cholera), 프로피온산증(Propionic acidemia)"
수면장애,"고산병(Mountain sickness), 라임병(Lyme disease), 만성 피로 증후군(Chronic Fatigue Syndrome), 분리 불안 장애(Separation Anxiety Disorder), 비중격 만곡(Nasal septal deviation), 섬망(Delirium), 섬유근육통(Fibromyalgia), 소아청소년기 우울증(Depression in childhood and adolescence), 스미스-마제니스 증후군 (Smith-Magenis syndrome, SMS), 외상 후 스트레스 장애(Post-traumatic stress disorder), 우울증(Depressive disorder), 조기 폐경(Premature ovarian failure), 진행성 핵상마비(progressive supranuclear palsy), 파킨슨병(Parkinson's disease), 폐경기 및 여성의 갱년기 상태(Menopausal and female climacteric states), 하지불안증후군(Restless Legs Syndrome)"
